text,true_label,true_class_name,predicted_label,predicted_class_name,text_length,predicted_probability,top2_label,top2_probability
日本地震：金吉列关注在日学子系列报道,3,education,6,politics,18,0.51,2,0.22
去新西兰体验舌尖上的饕餮之旅(组图),3,education,9,entertainment,18,0.38,5,0.17
公共英语(PETS)写作中常见的逻辑词汇汇总,3,education,9,entertainment,22,0.68,3,0.17
微博“小达人”全球游：美国行程亮点,3,education,6,politics,17,0.56,2,0.2
艺考路上孩子累脑父母累心,3,education,5,society,12,0.62,3,0.29
大一女生开学报到带上百斤行李17双鞋雷倒同学,3,education,5,society,22,0.87,3,0.05
南开大学实行学业警示 学分不够将“吃黄牌”,3,education,9,entertainment,21,0.83,6,0.07
英国一妇女整容成迈克尔-杰克逊(图),3,education,6,politics,18,0.48,2,0.17
美国管理会计师协会推出2011年新举措,3,education,6,politics,19,0.36,3,0.29
美国高中生申请名校都用什么招,3,education,6,politics,14,0.5,3,0.34
比利时老汉酷爱穿企鹅装 愿葬身南极(组图),3,education,9,entertainment,21,0.44,5,0.32
海南高考状元成功法宝：调整心态 培养题感(图),3,education,2,stocks,23,0.34,0,0.31
浙商大法语系介绍：半数毕业生出国深造,3,education,8,game,18,0.43,9,0.22
空军与清华签协议 首批联合培养飞行学员开课,3,education,2,stocks,21,0.25,3,0.21
生孩子是德国家庭头等“战略任务”,3,education,0,finance,16,0.26,3,0.21
中国民生银行近期活动：启动财富“梦想”,3,education,8,game,19,0.49,6,0.18
民办高校1老师9门课现学现教 带着负罪感上课,3,education,5,society,22,0.46,9,0.33
官方调查称湖南高考作文网上泄密不实,3,education,4,science,17,0.29,3,0.28
北大新生通知书附游戏盘 快速了解校园生活,3,education,8,game,20,0.88,3,0.09
澳技术移民最新优先审理顺序已生效,3,education,9,entertainment,16,0.45,8,0.23
调查体验报告：问题“刁钻”也无妨,3,education,8,game,16,0.34,5,0.24
空军招飞行员体检开始 视力成最大“门槛”,3,education,9,entertainment,20,0.3,1,0.16
图文：欧美同学会青年委员会会长陶庆华出席,3,education,7,sports,20,0.29,2,0.17
重庆2011年面向全国选派5619名大学生下基层,3,education,5,society,24,0.4,3,0.35
美国驻华使馆签证官：留美学生签证要证明三点,3,education,9,entertainment,21,0.51,3,0.24
周冬雨不必撇清光环 成功出演山楂树有说服力,3,education,9,entertainment,21,0.74,7,0.09
09年湖南省有六名初中生成“少年大学生”,3,education,5,society,20,0.57,3,0.26
热点观察：教育资源不足下的复读困境,3,education,9,entertainment,17,0.37,0,0.17
教育部要求小学高年级学性知识,3,education,6,politics,14,0.59,2,0.14
北京理工大学高科技助奥运会开幕式,3,education,9,entertainment,16,0.69,6,0.12
沪免费师范生就业方案公布 至少任教10年,3,education,8,game,20,0.36,6,0.18
全方位分析：留港就业门槛逐步降低,3,education,2,stocks,16,0.37,6,0.22
7岁男童3年读完小学上初一 母亲家教有绝招,3,education,5,society,21,0.84,9,0.16
上海市高自考毕业生突破十五万人,3,education,0,finance,15,0.34,9,0.28
在韩国的N种生存法：自己创业等(组图),3,education,9,entertainment,19,0.35,3,0.15
注税考前大练兵：税收相关法律重难点总结,3,education,9,entertainment,19,0.74,6,0.11
调查：过半网友遭遇移民中介夸大宣传不提风险,3,education,9,entertainment,21,0.36,3,0.22
艺考可能因新课改而降温,3,education,6,politics,11,0.3,9,0.24
北大推荐生名单公布 校花也成推荐理由,3,education,8,game,18,0.4,3,0.35
五千加沙儿童共绘手印画 打破吉尼斯纪录,3,education,5,society,19,0.44,6,0.39
中国5名留美学生发生车祸 2死3伤,3,education,6,politics,17,0.82,2,0.06
创新之道：我在美国成功转学上名校,3,education,6,politics,16,0.43,3,0.27
海外见闻：阿根廷圣诞宝贝最惹火(图),3,education,8,game,18,0.34,3,0.15
东南大学艺术特长生和保送生初审结果公布,3,education,8,game,19,0.64,3,0.14
MBA招收应届毕业生临阵“缩沙”始末(组图),3,education,9,entertainment,22,0.61,3,0.15
热议：美国梦想法案是否对留学生不公平？,3,education,6,politics,19,0.61,3,0.25
初三生与父母相处学会“三变”,3,education,5,society,14,0.58,3,0.35
教育部：做好秋季开学公共卫生事件防控工作,3,education,6,politics,20,0.35,3,0.3
20个常用手势让你摇身一变“美国通”,3,education,6,politics,18,0.66,2,0.1
学习之星：北航同宿舍8名男生全保研,3,education,5,society,17,0.79,9,0.14
内蒙古在校大学生明年起可以参加基本医疗保险,3,education,5,society,21,0.86,8,0.07
组图：备战艺考 女生穿比基尼半裸对视男生,3,education,5,society,20,0.45,9,0.41
“梦想法案”梦断国会山 奥巴马“非常失望”,3,education,6,politics,21,0.61,2,0.3
17日中国和新加坡《互免签证协定》生效,3,education,2,stocks,19,0.22,3,0.18
从高中生到大学生 华丽转身从现在开始(组图),3,education,5,society,22,0.54,9,0.25
四六级引来网络“杯具”签名潮 学生填词宣泄,3,education,5,society,21,0.33,4,0.3
考点区域临时管制 持准考证送考车辆尾号不限行,3,education,9,entertainment,22,0.44,0,0.13
掌握五种有效记忆方法 让你轻松玩转历史学科(2),3,education,8,game,24,0.52,9,0.29
湖大出新规：期末考不满50分平时成绩不算数,3,education,9,entertainment,21,0.4,5,0.25
北京美术类统考8日举行 开考15分钟不能进场,3,education,1,realty,22,0.41,3,0.3
重庆市发布中小学教育五条禁令,3,education,4,science,14,0.35,3,0.3
加拿大联邦技术移民最新详细职业清单,3,education,8,game,17,0.4,9,0.27
海归女骑手：改国籍只为代表中国参加奥运(图),3,education,7,sports,22,0.25,3,0.23
美国杜莎夫人蜡像馆为名人换唐装贺新春(图),3,education,6,politics,21,0.7,2,0.09
揭秘11岁神童在人大的生活：师兄师姐关爱有加,3,education,9,entertainment,22,0.35,1,0.23
避开国内激烈竞争 偏科女孩留澳上名校,3,education,5,society,18,0.46,3,0.32
三胞胎姐妹金榜题名：贫困其实是一种财富(图),3,education,9,entertainment,22,0.91,0,0.04
趣味：九大雷死人不偿命怪癖你占几个(图),3,education,9,entertainment,20,0.59,3,0.29
留学生：在美国找工作也得靠“关系”,3,education,6,politics,17,0.46,3,0.33
吉林招办主任：一定找准定位填志愿,3,education,5,society,16,0.55,3,0.22
初中生读中技 毕业后成人才市场“香饽饽”,3,education,2,stocks,20,0.42,0,0.28
高考作文预测 网络微博话题受关注,3,education,4,science,16,0.58,2,0.15
美科学家进行千人实验 称人类或许能预知未来,3,education,4,science,21,0.38,6,0.34
会6种语言成都女孩获哈佛大学全额奖学金,3,education,5,society,19,0.73,6,0.09
中学英语指南：九类倒装句解析,3,education,9,entertainment,14,0.48,8,0.36
留美申请文书写作技巧：尽量多讲故事,3,education,9,entertainment,17,0.44,3,0.19
开学添置新文具 关注实用别跟”攀比风”(图),3,education,2,stocks,22,0.72,9,0.17
香港城市大学2008年学费上涨1万港币,3,education,0,finance,19,0.45,2,0.39
冬天里的春天 计算机专业就业新观察,3,education,2,stocks,17,0.49,9,0.42
野鸡大学调查：国外半小时注册 国内无周密审查,3,education,9,entertainment,22,0.23,4,0.2
专家建议：提前批次切忌“不填白不填”,3,education,9,entertainment,18,0.32,1,0.24
教育部：400名大学生须配一政治老师,3,education,5,society,18,0.62,3,0.22
湖北武汉二中探索出有效课堂教学策略,3,education,9,entertainment,17,0.3,3,0.25
热议：“小升初”累病了北京的妈妈,3,education,1,realty,16,0.47,3,0.38
揭秘：美国大学生从蚁族潜伏到蜗居,3,education,6,politics,16,0.49,5,0.29
老外看中国：乘车不喜欢系安全带等,3,education,2,stocks,16,0.31,3,0.26
吉林文科状元申佳颖：多才多艺 偏好文科(图),3,education,9,entertainment,22,0.47,3,0.46
提示站：自费留学需注意“山寨中介”,3,education,9,entertainment,17,0.4,1,0.14
墨尔本大学国际开放日 5月21日北京始发,3,education,1,realty,20,0.45,3,0.25
面对“落榜生” 家庭关怀帮助不可少,3,education,0,finance,17,0.51,9,0.29
口述90后中学生的真实学习生活,3,education,9,entertainment,15,0.4,1,0.24
上海师范大学成立国际儒学院,3,education,0,finance,13,0.3,2,0.16
哈佛北京校友会设立“哈佛中国学子基金”,3,education,0,finance,19,0.44,1,0.22
社工试题答案公布：增加逻辑推理题,3,education,8,game,16,0.57,3,0.13
14岁“神童”大学生读天大 靠的是勤奋(图),3,education,5,society,22,0.8,8,0.1
快讯：七月赴澳技术移民将按新政申请,3,education,2,stocks,17,0.73,4,0.1
好莱坞十大童星富豪排行榜新鲜出炉(组图),3,education,9,entertainment,20,0.63,5,0.18
司考10年41万人获职业资格 司考工作网络初成,3,education,4,science,23,0.63,5,0.09
测试：你内心真实的一面属于哪种类型(图),3,education,9,entertainment,20,0.36,3,0.28
美国投资移民申请常见问题快速解答,3,education,6,politics,16,0.5,3,0.24
冷暖人生：加籍华裔的后移民时代(组图),3,education,9,entertainment,19,0.35,3,0.33
做个聪明应考人：国家公务员面试准备(组图),3,education,9,entertainment,21,0.53,3,0.22
北大网上开放校长视频迎客 近百名老师网络答疑,3,education,4,science,22,0.45,5,0.22
惊爆：美国百万富人赚钱的十大“秘诀”,3,education,6,politics,18,0.74,7,0.09
剑桥大学为中国博士专设高额奖学金,3,education,2,stocks,16,0.39,4,0.19
增加竞争：英国欲改革大学排名体制,3,education,6,politics,16,0.46,2,0.22
海归回国创业最高可获50万元资金支持,3,education,2,stocks,18,0.36,5,0.25
拉斯维加斯：一个疯狂不羁的城市(图),3,education,1,realty,18,0.48,6,0.18
深圳特区报：澳际留美挑战赛开赛,3,education,9,entertainment,15,0.79,3,0.11
教辅书东拼西凑广告夸大 背后暗藏分成利益,3,education,9,entertainment,20,0.52,4,0.36
留日学子坦言：日本人没传说中冷漠(图),3,education,6,politics,19,0.39,8,0.3
托福考试首推“口语录音剪辑”在线查询,3,education,9,entertainment,18,0.38,8,0.24
张艺谋做客母校北电 建议学子反复实践(组图),3,education,9,entertainment,22,0.87,5,0.07
吉林爱心助学基金 20岁女生申请助学金,3,education,0,finance,19,0.65,5,0.25
亲历：日本体验配眼镜的舒适服务(组图),3,education,6,politics,19,0.28,9,0.25
“避热就冷”好就业 小语种创造大前途(图),3,education,9,entertainment,21,0.44,2,0.43
揭开：美国穷人爱“蜗居”城里原因,3,education,6,politics,16,0.73,9,0.07
美媒：“海归派”在中国势力逐渐壮大,3,education,2,stocks,17,0.45,4,0.21
印度4岁“俯卧撑帝”40分钟做1500个(图),3,education,6,politics,23,0.64,5,0.14
山西同等学力申硕全国联考开始领取准考证,3,education,9,entertainment,19,0.59,3,0.16
演员张一山、杨紫通过北京电影学院三试(组图),3,education,9,entertainment,22,0.51,5,0.15
看到绿丝带有事您说话 爱心送考车队正式出发,3,education,9,entertainment,21,0.45,8,0.29
北京舞蹈学院7月、8月加试专业课,3,education,9,entertainment,16,0.92,8,0.04
百名陌生同学送祝福 大一女孩度过最难忘生日,3,education,5,society,21,0.71,9,0.17
美中产家庭抚养孩子18岁要花147万元人民币,3,education,5,society,22,0.45,0,0.24
青岛籍大学生20日可申请生源地助学贷款,3,education,5,society,19,0.75,3,0.12
美国教育部副部长：注重鼓励学生独立思考,3,education,6,politics,19,0.51,3,0.24
雷闯下周正式前往交大读研 校方表示绝不歧视,3,education,9,entertainment,21,0.52,2,0.27
别样家长会：老师唱独角变成三方恳谈(图),3,education,5,society,20,0.5,9,0.36
广州高考状元共同点：家庭轻松自由多,3,education,0,finance,17,0.5,3,0.18
朱德庸：几乎不开空调 传递绿色生活体验,9,entertainment,8,game,19,0.4,9,0.34
乔治男孩提前出狱 清瘦一圈眼袋变小(图),9,entertainment,5,society,20,0.79,9,0.07
妮可-里奇网上分享美发心得 推出自家品牌首饰,9,entertainment,4,science,22,0.29,5,0.26
重塑雕像的权利9号专场 首次5人登场演绎新歌,9,entertainment,8,game,22,0.5,9,0.33
弃恶搞选唯美 孙周首玩网络电影《相对论》(图),9,entertainment,4,science,23,0.71,2,0.07
“老白”归来 沙溢疑似“转会”华谊,9,entertainment,7,sports,17,0.59,9,0.25
张嘉儿视“猪扒港姐”是测试 笑称自己已过关,9,entertainment,3,education,21,0.74,8,0.08
彭坦春晓拍时尚大片玩性别反串(图),9,entertainment,4,science,17,0.55,9,0.31
《蜗居》登陆北京说房事 海清：不能为钱当孙子,9,entertainment,1,realty,22,0.64,3,0.21
尚雯婕现身时尚盛典 造型依然很另类(图),9,entertainment,4,science,20,0.49,9,0.4
米雪球场展欢颜 球迷掌声悼念尹志强(图),9,entertainment,7,sports,20,0.84,5,0.13
高群书《四大名捕》角色解析 四主角各领风骚,9,entertainment,8,game,21,0.52,9,0.38
王朔一见钟情恋上周迅 房祖名是介绍人(图),9,entertainment,8,game,21,0.49,9,0.29
“绯闻女孩”恋上“吸血鬼王子”？(图),9,entertainment,5,society,19,0.74,9,0.12
郎朗时刻等待祖国召唤首张精选集献礼奥运,9,entertainment,7,sports,19,0.26,8,0.26
陈小春应采儿今日情人节在美国赌城注册结婚,9,entertainment,6,politics,20,0.61,9,0.21
预告：24日10时半朱丹吴健吴毅聊《女主播》,9,entertainment,4,science,22,0.24,5,0.21
冯小刚自传《我把青春献给你》上市,9,entertainment,2,stocks,16,0.38,8,0.33
董卿称正在研读易中天 网友拍砖戏谑其装深沉,9,entertainment,5,society,21,0.33,9,0.33
