text,true_label,true_class_name,predicted_label,predicted_class_name,text_length,predicted_probability,top2_label,top2_probability
日本地震：金吉列关注在日学子系列报道,3,education,6,politics,18,0.17882893341413222,3,0.11634179283444945
去新西兰体验舌尖上的饕餮之旅(组图),3,education,9,entertainment,18,0.13522737333965162,5,0.10790318512126705
热议：艺考合格证是高考升学王牌吗(组图),3,education,9,entertainment,20,0.13259401661336498,3,0.12713981129616042
微博“小达人”全球游：美国行程亮点,3,education,6,politics,17,0.15062762134260851,2,0.1060567182988072
艺考路上孩子累脑父母累心,3,education,5,society,12,0.1202947762135322,3,0.10489716526257169
大一女生开学报到带上百斤行李17双鞋雷倒同学,3,education,5,society,22,0.14075215928636775,9,0.1032205845445046
南开大学实行学业警示 学分不够将“吃黄牌”,3,education,9,entertainment,21,0.10752491697240735,7,0.1035529707305004
清华新百年首届本科生告别母校,3,education,9,entertainment,14,0.10752491697240735,7,0.1035529707305004
英国一妇女整容成迈克尔-杰克逊(图),3,education,6,politics,18,0.10937834513168447,9,0.10575528733979178
美国高中生申请名校都用什么招,3,education,6,politics,14,0.14198441165561448,3,0.13818991284225204
比利时老汉酷爱穿企鹅装 愿葬身南极(组图),3,education,9,entertainment,21,0.13692321855254735,5,0.109561578155233
海南高考状元成功法宝：调整心态 培养题感(图),3,education,2,stocks,23,0.11630644352256958,0,0.10847058383952041
浙商大法语系介绍：半数毕业生出国深造,3,education,9,entertainment,18,0.10752491697240735,7,0.1035529707305004
空军与清华签协议 首批联合培养飞行学员开课,3,education,9,entertainment,21,0.10752491697240735,7,0.1035529707305004
湖南本科一批录24183人 清华北大追加计划97个,3,education,1,realty,25,0.1922535282936294,3,0.15561839461452717
生孩子是德国家庭头等“战略任务”,3,education,6,politics,16,0.10871115786134716,7,0.10838578061475185
中国民生银行近期活动：启动财富“梦想”,3,education,8,game,19,0.12840995502569982,9,0.1067244668779132
民办高校1老师9门课现学现教 带着负罪感上课,3,education,9,entertainment,22,0.10752491697240735,7,0.1035529707305004
技巧：古诗鉴赏十大规律写出精彩高考作文,3,education,9,entertainment,19,0.10752491697240735,7,0.1035529707305004
北大新生通知书附游戏盘 快速了解校园生活,3,education,8,game,20,0.21044615984627696,4,0.0976442270285631
澳技术移民最新优先审理顺序已生效,3,education,9,entertainment,16,0.10752491697240735,7,0.1035529707305004
测试：年度10大最愚蠢礼物你中意哪件(图),3,education,8,game,21,0.10758942105839102,9,0.10564324379157326
国考报名现冷热两重天 国税局一岗位480人争,3,education,9,entertainment,22,0.10752491697240735,7,0.1035529707305004
调查体验报告：问题“刁钻”也无妨,3,education,8,game,16,0.11060288061224684,9,0.10582907175951162
空军招飞行员体检开始 视力成最大“门槛”,3,education,9,entertainment,20,0.10752491697240735,7,0.1035529707305004
图文：欧美同学会青年委员会会长陶庆华出席,3,education,7,sports,20,0.16458304757987438,9,0.13445658620468953
顾此失彼：去海外读书选课不要贪多,3,education,9,entertainment,16,0.10752491697240735,7,0.1035529707305004
在美国“人肉搜索”为何成重罪？(组图),3,education,6,politics,19,0.13299095488765567,9,0.12776827297690913
2009年澳洲技术移民新政及职业清单分析,3,education,9,entertainment,20,0.10592475364189921,3,0.10511788046274911
北大中文系副主任：社会对高考作文畸形重视,3,education,9,entertainment,20,0.10752491697240735,7,0.1035529707305004
2009年研招咨询17个典型问题汇总,3,education,9,entertainment,18,0.10592475364189921,3,0.10511788046274911
美国驻华使馆签证官：留美学生签证要证明三点,3,education,9,entertainment,21,0.10752491697240735,7,0.1035529707305004
专家视点：至少10%的博士生应被淘汰,3,education,6,politics,18,0.14550698147332114,3,0.11587245877866019
周冬雨不必撇清光环 成功出演山楂树有说服力,3,education,9,entertainment,21,0.10752491697240735,7,0.1035529707305004
热点观察：教育资源不足下的复读困境,3,education,9,entertainment,17,0.10752491697240735,7,0.1035529707305004
教育部要求小学高年级学性知识,3,education,6,politics,14,0.12489472572770051,5,0.10831577824305776
北京理工大学高科技助奥运会开幕式,3,education,9,entertainment,16,0.10752491697240735,7,0.1035529707305004
沪免费师范生就业方案公布 至少任教10年,3,education,6,politics,20,0.14531357916302567,8,0.11821709468692056
全方位分析：留港就业门槛逐步降低,3,education,9,entertainment,16,0.10546726886986095,6,0.10393510882050164
7岁男童3年读完小学上初一 母亲家教有绝招,3,education,5,society,21,0.21002304555396706,9,0.11420872503094585
上海市高自考毕业生突破十五万人,3,education,9,entertainment,15,0.10752491697240735,7,0.1035529707305004
在韩国的N种生存法：自己创业等(组图),3,education,9,entertainment,19,0.13701963846556123,6,0.10984095882729134
深圳大学工程硕士新增6个授权领域,3,education,9,entertainment,16,0.10752491697240735,7,0.1035529707305004
