source_split,original_line_number,original_text,normalized_text,label,removal_reason,duplicate_of_split
train,3044,盛大游戏制作人体系：分权的游戏,盛大游戏制作人体系:分权的游戏,4,conflicting_labels,
train,3413,金山与盛大游戏合资被指让出运营权,金山与盛大游戏合资被指让出运营权,4,conflicting_labels,
train,6616,新年一月份基金重仓股近七成跌幅超大盘,新年一月份基金重仓股近七成跌幅超大盘,2,conflicting_labels,
train,9077,次新基金节后将携800亿入市,次新基金节后将携800亿入市,0,conflicting_labels,
train,10700,通胀忧虑暂得缓解 主投港股QDII基金普涨,通胀忧虑暂得缓解 主投港股QDII基金普涨,0,conflicting_labels,
train,11433,中石油证实20亿团购北京楼房事件,中石油证实20亿团购北京楼房事件,1,conflicting_labels,
train,11900,环保电力也想入股新纪元期货,环保电力也想入股新纪元期货,2,conflicting_labels,
train,13957,新年一月份基金重仓股近七成跌幅超大盘,新年一月份基金重仓股近七成跌幅超大盘,0,conflicting_labels,
train,19741,纽约股市中国概念股一周综述,纽约股市中国概念股一周综述,4,conflicting_labels,
train,20743,万科放弃追求第一 踏空7个月土储只够2.5年,万科放弃追求第一 踏空7个月土储只够2.5年,1,conflicting_labels,
train,21096,大摩：《梦幻西游》PCU创出历史新高,大摩:《梦幻西游》PCU创出历史新高,4,conflicting_labels,
train,21552,分析：假如Google做游戏,分析:假如Google做游戏,8,conflicting_labels,
train,21621,俄罗斯电信高管将iPhone手机比作毒品,俄罗斯电信高管将iPhone手机比作毒品,4,conflicting_labels,
train,22804,通胀忧虑暂得缓解 主投港股QDII基金普涨,通胀忧虑暂得缓解 主投港股QDII基金普涨,2,conflicting_labels,
train,24894,国土资源部门将严查囤地开发商,国土资源部门将严查囤地开发商,1,conflicting_labels,
train,25639,王亚伟豪赌玉石涨价 东方金钰成大黑马,王亚伟豪赌玉石涨价 东方金钰成大黑马,2,conflicting_labels,
train,26700,欧盟委员会证实已收到对谷歌的反垄断投诉,欧盟委员会证实已收到对谷歌的反垄断投诉,2,conflicting_labels,
train,29381,两房抵押贷款收益率升至一个月高点,两房抵押贷款收益率升至一个月高点,2,conflicting_labels,
train,34203,听障女孩在京中考 与家人蜗居地下室7年(组图),听障女孩在京中考 与家人蜗居地下室7年(组图),5,conflicting_labels,
train,37142,9岁幼童身绑iPad 2入境被查获,9岁幼童身绑iPad 2入境被查获,4,conflicting_labels,
train,44172,欧洲阿丽亚娜火箭成功发射两颗通信卫星,欧洲阿丽亚娜火箭成功发射两颗通信卫星,6,conflicting_labels,
train,44425,82岁老人第11次上高考考场,82岁老人第11次上高考考场,3,conflicting_labels,
train,45228,第二次全国土地调查抽查核实工作启动,第二次全国土地调查抽查核实工作启动,6,conflicting_labels,
train,45404,第二次全国土地调查抽查核实工作启动,第二次全国土地调查抽查核实工作启动,1,conflicting_labels,
train,46851,国家适当提高今年稻谷最低收购价格,国家适当提高今年稻谷最低收购价格,6,conflicting_labels,
train,48864,中石油证实20亿团购北京楼房事件,中石油证实20亿团购北京楼房事件,5,conflicting_labels,
train,52406,男子代人炒期货亏百万 遭索债杀死委托人,男子代人炒期货亏百万 遭索债杀死委托人,5,conflicting_labels,
train,57815,全国总工会建议试点学生在父母务工地参加高考,全国总工会建议试点学生在父母务工地参加高考,3,conflicting_labels,
train,59462,盛大游戏朱继盛 网游就是信息化,盛大游戏朱继盛 网游就是信息化,8,conflicting_labels,
train,60964,螺纹钢等长材价格将见底回升,螺纹钢等长材价格将见底回升,1,conflicting_labels,
train,62455,房屋动迁组长半年内骗补偿金724万,房屋动迁组长半年内骗补偿金724万,5,conflicting_labels,
train,72665,次新基金节后将携800亿入市,次新基金节后将携800亿入市,2,conflicting_labels,
train,75003,中华网人事调整 高福祥出任总经理,中华网人事调整 高福祥出任总经理,8,conflicting_labels,
train,77544,82岁老人第11次上高考考场,82岁老人第11次上高考考场,5,conflicting_labels,
train,77743,王亚伟豪赌玉石涨价 东方金钰成大黑马,王亚伟豪赌玉石涨价 东方金钰成大黑马,0,conflicting_labels,
train,79830,21岁儿子起诉母亲索要出国留学费用,21岁儿子起诉母亲索要出国留学费用,5,conflicting_labels,
train,82645,大陆赴台读大学学生将不允许留台工作,大陆赴台读大学学生将不允许留台工作,3,conflicting_labels,
train,83467,龙源技术净利降八成 基金加仓遭遇业绩地雷,龙源技术净利降八成 基金加仓遭遇业绩地雷,0,conflicting_labels,
train,87614,豪赌下半年政策转折 基金经理大胆调仓,豪赌下半年政策转折 基金经理大胆调仓,0,conflicting_labels,
train,89002,商务部否认柬埔寨对我国援建办公楼不满意,商务部否认柬埔寨对我国援建办公楼不满意,6,conflicting_labels,
train,90325,夫妇用外挂替网游玩家代练获刑,夫妇用外挂替网游玩家代练获刑,5,conflicting_labels,
train,90674,越南网游仍在收紧 中国厂商或需调整,越南网游仍在收紧 中国厂商或需调整,8,conflicting_labels,
train,91977,欧洲阿丽亚娜火箭成功发射两颗通信卫星,欧洲阿丽亚娜火箭成功发射两颗通信卫星,4,conflicting_labels,
train,97591,夫妇用外挂替网游玩家代练获刑,夫妇用外挂替网游玩家代练获刑,8,conflicting_labels,
