text,true_label,true_class_name,predicted_label,predicted_class_name,text_length,predicted_probability,top2_label,top2_probability
日本地震：金吉列关注在日学子系列报道,3,education,6,politics,18,0.55,2,0.22
去新西兰体验舌尖上的饕餮之旅(组图),3,education,9,entertainment,18,0.45,6,0.15
公共英语(PETS)写作中常见的逻辑词汇汇总,3,education,9,entertainment,22,0.59,3,0.28
微博“小达人”全球游：美国行程亮点,3,education,6,politics,17,0.47,2,0.17
艺考路上孩子累脑父母累心,3,education,5,society,12,0.67,3,0.3
大一女生开学报到带上百斤行李17双鞋雷倒同学,3,education,5,society,22,0.76,3,0.09
南开大学实行学业警示 学分不够将“吃黄牌”,3,education,9,entertainment,21,0.77,6,0.07
英国一妇女整容成迈克尔-杰克逊(图),3,education,6,politics,18,0.47,8,0.24
美国管理会计师协会推出2011年新举措,3,education,6,politics,19,0.32,3,0.3
比利时老汉酷爱穿企鹅装 愿葬身南极(组图),3,education,9,entertainment,21,0.47,5,0.36
海南高考状元成功法宝：调整心态 培养题感(图),3,education,2,stocks,23,0.3,0,0.24
浙商大法语系介绍：半数毕业生出国深造,3,education,8,game,18,0.51,9,0.25
空军与清华签协议 首批联合培养飞行学员开课,3,education,2,stocks,21,0.23,3,0.23
生孩子是德国家庭头等“战略任务”,3,education,0,finance,16,0.23,3,0.23
中国民生银行近期活动：启动财富“梦想”,3,education,8,game,19,0.4,4,0.2
民办高校1老师9门课现学现教 带着负罪感上课,3,education,5,society,22,0.51,9,0.28
官方调查称湖南高考作文网上泄密不实,3,education,4,science,17,0.28,3,0.23
北大新生通知书附游戏盘 快速了解校园生活,3,education,8,game,20,0.75,3,0.19
澳技术移民最新优先审理顺序已生效,3,education,9,entertainment,16,0.33,8,0.27
调查体验报告：问题“刁钻”也无妨,3,education,5,society,16,0.32,6,0.24
空军招飞行员体检开始 视力成最大“门槛”,3,education,9,entertainment,20,0.3,1,0.11
图文：欧美同学会青年委员会会长陶庆华出席,3,education,9,entertainment,20,0.25,7,0.24
重庆2011年面向全国选派5619名大学生下基层,3,education,5,society,24,0.45,3,0.39
美国驻华使馆签证官：留美学生签证要证明三点,3,education,9,entertainment,21,0.47,3,0.32
周冬雨不必撇清光环 成功出演山楂树有说服力,3,education,9,entertainment,21,0.74,3,0.07
09年湖南省有六名初中生成“少年大学生”,3,education,5,society,20,0.52,3,0.29
热点观察：教育资源不足下的复读困境,3,education,9,entertainment,17,0.3,0,0.22
教育部要求小学高年级学性知识,3,education,6,politics,14,0.55,3,0.14
北京理工大学高科技助奥运会开幕式,3,education,9,entertainment,16,0.66,6,0.15
沪免费师范生就业方案公布 至少任教10年,3,education,8,game,20,0.4,6,0.21
全方位分析：留港就业门槛逐步降低,3,education,2,stocks,16,0.41,9,0.19
7岁男童3年读完小学上初一 母亲家教有绝招,3,education,5,society,21,0.88,9,0.11
上海市高自考毕业生突破十五万人,3,education,0,finance,15,0.3,9,0.3
在韩国的N种生存法：自己创业等(组图),3,education,9,entertainment,19,0.4,6,0.22
“跨区域”办学使新疆3万多名各民族学生受益,3,education,5,society,21,0.39,3,0.36
注税考前大练兵：税收相关法律重难点总结,3,education,9,entertainment,19,0.7,6,0.13
艺考可能因新课改而降温,3,education,6,politics,11,0.39,9,0.26
英国爆发第三次学生游行抗议涨学费,3,education,5,society,16,0.3,6,0.3
五千加沙儿童共绘手印画 打破吉尼斯纪录,3,education,5,society,19,0.5,6,0.42
中国5名留美学生发生车祸 2死3伤,3,education,6,politics,17,0.86,2,0.08
江苏初中试水“双分制” 多把尺子量学生,3,education,5,society,19,0.43,3,0.38
广州中小学开学典礼很“奥运”(图),3,education,7,sports,17,0.22,3,0.18
创新之道：我在美国成功转学上名校,3,education,6,politics,16,0.35,3,0.32
海外见闻：阿根廷圣诞宝贝最惹火(图),3,education,8,game,18,0.34,3,0.25
专家：父母放手给孩子更大成长空间,3,education,5,society,16,0.41,3,0.33
东南大学艺术特长生和保送生初审结果公布,3,education,8,game,19,0.74,3,0.12
MBA招收应届毕业生临阵“缩沙”始末(组图),3,education,9,entertainment,22,0.83,3,0.11
热议：美国梦想法案是否对留学生不公平？,3,education,6,politics,19,0.59,3,0.26
初三生与父母相处学会“三变”,3,education,5,society,14,0.61,3,0.31
20个常用手势让你摇身一变“美国通”,3,education,6,politics,18,0.54,2,0.2
学习之星：北航同宿舍8名男生全保研,3,education,5,society,17,0.87,9,0.06
内蒙古在校大学生明年起可以参加基本医疗保险,3,education,5,society,21,0.83,3,0.07
组图：备战艺考 女生穿比基尼半裸对视男生,3,education,5,society,20,0.51,9,0.38
“梦想法案”梦断国会山 奥巴马“非常失望”,3,education,6,politics,21,0.59,2,0.34
17日中国和新加坡《互免签证协定》生效,3,education,2,stocks,19,0.26,3,0.2
从高中生到大学生 华丽转身从现在开始(组图),3,education,5,society,22,0.47,9,0.32
四六级引来网络“杯具”签名潮 学生填词宣泄,3,education,4,science,21,0.37,5,0.24
考点区域临时管制 持准考证送考车辆尾号不限行,3,education,9,entertainment,22,0.51,6,0.13
掌握五种有效记忆方法 让你轻松玩转历史学科(2),3,education,8,game,24,0.53,9,0.25
湖大出新规：期末考不满50分平时成绩不算数,3,education,9,entertainment,21,0.3,5,0.23
北京美术类统考8日举行 开考15分钟不能进场,3,education,1,realty,22,0.44,3,0.24
加拿大联邦技术移民最新详细职业清单,3,education,8,game,17,0.48,4,0.15
美国杜莎夫人蜡像馆为名人换唐装贺新春(图),3,education,6,politics,21,0.72,2,0.15
揭秘11岁神童在人大的生活：师兄师姐关爱有加,3,education,9,entertainment,22,0.27,8,0.23
三胞胎姐妹金榜题名：贫困其实是一种财富(图),3,education,9,entertainment,22,0.86,0,0.05
趣味：九大雷死人不偿命怪癖你占几个(图),3,education,9,entertainment,20,0.6,3,0.19
留学生：在美国找工作也得靠“关系”,3,education,6,politics,17,0.41,3,0.31
吉林招办主任：一定找准定位填志愿,3,education,5,society,16,0.51,3,0.3
初中生读中技 毕业后成人才市场“香饽饽”,3,education,2,stocks,20,0.46,0,0.32
高考作文预测 网络微博话题受关注,3,education,4,science,16,0.61,2,0.14
美科学家进行千人实验 称人类或许能预知未来,3,education,4,science,21,0.39,6,0.32
会6种语言成都女孩获哈佛大学全额奖学金,3,education,5,society,19,0.79,3,0.08
中学英语指南：九类倒装句解析,3,education,9,entertainment,14,0.45,8,0.41
留美申请文书写作技巧：尽量多讲故事,3,education,9,entertainment,17,0.33,3,0.3
开学添置新文具 关注实用别跟”攀比风”(图),3,education,2,stocks,22,0.68,9,0.17
香港城市大学2008年学费上涨1万港币,3,education,0,finance,19,0.46,2,0.44
冬天里的春天 计算机专业就业新观察,3,education,2,stocks,17,0.55,9,0.36
野鸡大学调查：国外半小时注册 国内无周密审查,3,education,9,entertainment,22,0.21,5,0.19
台湾放开大陆学生赴台就读 门槛还很高,3,education,6,politics,18,0.33,3,0.29
专家建议：提前批次切忌“不填白不填”,3,education,9,entertainment,18,0.29,3,0.27
教育部：400名大学生须配一政治老师,3,education,5,society,18,0.66,3,0.22
湖北武汉二中探索出有效课堂教学策略,3,education,9,entertainment,17,0.37,3,0.21
热议：“小升初”累病了北京的妈妈,3,education,1,realty,16,0.41,3,0.35
揭秘：美国大学生从蚁族潜伏到蜗居,3,education,6,politics,16,0.38,5,0.37
老外看中国：乘车不喜欢系安全带等,3,education,2,stocks,16,0.4,4,0.22
提示站：自费留学需注意“山寨中介”,3,education,9,entertainment,17,0.38,1,0.15
墨尔本大学国际开放日 5月21日北京始发,3,education,1,realty,20,0.45,3,0.25
面对“落榜生” 家庭关怀帮助不可少,3,education,0,finance,17,0.46,9,0.34
口述90后中学生的真实学习生活,3,education,9,entertainment,15,0.39,3,0.18
上海师范大学成立国际儒学院,3,education,0,finance,13,0.33,2,0.21
哈佛北京校友会设立“哈佛中国学子基金”,3,education,0,finance,19,0.49,1,0.21
社工试题答案公布：增加逻辑推理题,3,education,8,game,16,0.62,4,0.13
14岁“神童”大学生读天大 靠的是勤奋(图),3,education,5,society,22,0.83,3,0.1
快讯：七月赴澳技术移民将按新政申请,3,education,2,stocks,17,0.71,4,0.11
好莱坞十大童星富豪排行榜新鲜出炉(组图),3,education,9,entertainment,20,0.76,5,0.11
司考10年41万人获职业资格 司考工作网络初成,3,education,4,science,23,0.69,6,0.1
北大网院学生享受系列文化大餐,3,education,5,society,14,0.42,3,0.41
测试：你内心真实的一面属于哪种类型(图),3,education,9,entertainment,20,0.33,3,0.28
美国投资移民申请常见问题快速解答,3,education,6,politics,16,0.44,3,0.19
冷暖人生：加籍华裔的后移民时代(组图),3,education,9,entertainment,19,0.36,3,0.33
做个聪明应考人：国家公务员面试准备(组图),3,education,9,entertainment,21,0.55,3,0.19
北大网上开放校长视频迎客 近百名老师网络答疑,3,education,4,science,22,0.42,3,0.26
惊爆：美国百万富人赚钱的十大“秘诀”,3,education,6,politics,18,0.68,2,0.14
剑桥大学为中国博士专设高额奖学金,3,education,2,stocks,16,0.4,3,0.19
增加竞争：英国欲改革大学排名体制,3,education,6,politics,16,0.45,2,0.24
海归回国创业最高可获50万元资金支持,3,education,2,stocks,18,0.34,5,0.31
拉斯维加斯：一个疯狂不羁的城市(图),3,education,1,realty,18,0.41,6,0.2
深圳特区报：澳际留美挑战赛开赛,3,education,9,entertainment,15,0.64,3,0.17
教辅书东拼西凑广告夸大 背后暗藏分成利益,3,education,9,entertainment,20,0.43,4,0.38
留日学子坦言：日本人没传说中冷漠(图),3,education,6,politics,19,0.5,8,0.24
托福考试首推“口语录音剪辑”在线查询,3,education,9,entertainment,18,0.34,8,0.24
张艺谋做客母校北电 建议学子反复实践(组图),3,education,9,entertainment,22,0.79,5,0.1
吉林爱心助学基金 20岁女生申请助学金,3,education,0,finance,19,0.77,5,0.16
亲历：日本体验配眼镜的舒适服务(组图),3,education,6,politics,19,0.38,9,0.25
“避热就冷”好就业 小语种创造大前途(图),3,education,2,stocks,21,0.5,9,0.39
揭开：美国穷人爱“蜗居”城里原因,3,education,6,politics,16,0.68,9,0.11
取消中考综合素质评价可能变成“拼爹游戏”,3,education,8,game,20,0.49,3,0.42
释解学生疑惑：赴澳考“雅”还是考“托”？,3,education,5,society,20,0.47,3,0.36
美媒：“海归派”在中国势力逐渐壮大,3,education,2,stocks,17,0.45,4,0.25
印度4岁“俯卧撑帝”40分钟做1500个(图),3,education,6,politics,23,0.58,5,0.23
山西同等学力申硕全国联考开始领取准考证,3,education,9,entertainment,19,0.47,3,0.17
演员张一山、杨紫通过北京电影学院三试(组图),3,education,9,entertainment,22,0.56,5,0.2
看到绿丝带有事您说话 爱心送考车队正式出发,3,education,9,entertainment,21,0.35,7,0.27
